When,Type,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan
09/01/1964,Total,525,1229,11376,437,264,69,604,4743,5,3154,346
09/01/1964,All Others,237,,,,,,,,,,
09/01/1964,Single Detached,288,,,,,,,,,,
10/01/1964,All Others,339,,,,,,,,,,
10/01/1964,Single Detached,572,,,,,,,,,,
10/01/1964,Total,911,1780,13457,373,437,61,164,6197,20,2928,586
11/01/1964,Total,1424,1709,19856,760,314,95,261,7980,34,6685,594
11/01/1964,All Others,270,,,,,,,,,,
11/01/1964,Single Detached,1154,,,,,,,,,,
12/01/1964,Total,625,1160,11881,373,71,53,150,5043,16,4089,301
12/01/1964,Single Detached,522,,,,,,,,,,
12/01/1964,All Others,103,,,,,,,,,,
01/01/1965,Single Detached,380,,,,,,,,,,
01/01/1965,All Others,239,,,,,,,,,,
01/01/1965,Total,619,1010,6637,307,38,45,145,2093,0,2126,254
02/01/1965,All Others,216,,,,,,,,,,
02/01/1965,Single Detached,539,,,,,,,,,,
02/01/1965,Total,709,766,5634,119,4,13,60,2066,3,1753,141
03/01/1965,Total,327,1082,6812,285,16,20,103,2482,0,2319,178
03/01/1965,All Others,139,,,,,,,,,,
03/01/1965,Single Detached,188,,,,,,,,,,
04/01/1965,Single Detached,165,,,,,,,,,,
04/01/1965,Total,1034,1125,8810,349,135,45,133,3564,5,2243,177
04/01/1965,All Others,869,,,,,,,,,,
05/01/1965,All Others,261,,,,,,,,,,
05/01/1965,Total,564,2286,13376,305,222,66,177,6359,6,3069,322
05/01/1965,Single Detached,303,,,,,,,,,,
06/01/1965,Single Detached,336,,,,,,,,,,
06/01/1965,Total,506,2039,15533,503,220,39,186,7614,8,3963,455
06/01/1965,All Others,170,,,,,,,,,,
07/01/1965,All Others,426,,,,,,,,,,
07/01/1965,Single Detached,352,,,,,,,,,,
07/01/1965,Total,778,1535,13333,266,228,72,216,6489,9,2986,754
08/01/1965,All Others,560,,,,,,,,,,
08/01/1965,Single Detached,375,,,,,,,,,,
08/01/1965,Total,935,1269,15176,222,198,58,165,8958,5,3051,315
09/01/1965,All Others,170,,,,,,,,,,
09/01/1965,Single Detached,377,,,,,,,,,,
09/01/1965,Total,547,1268,10930,346,171,27,258,4707,9,3334,263
10/01/1965,All Others,164,,,,,,,,,,
10/01/1965,Single Detached,654,,,,,,,,,,
10/01/1965,Total,818,1148,11277,533,144,51,168,4432,8,3657,318
11/01/1965,Total,1631,934,15673,523,182,100,172,5986,6,5557,582
11/01/1965,Single Detached,1162,,,,,,,,,,
11/01/1965,All Others,469,,,,,,,,,,
12/01/1965,All Others,128,,,,,,,,,,
12/01/1965,Total,766,1358,12027,412,111,91,220,4568,2,4075,424
12/01/1965,Single Detached,638,,,,,,,,,,
01/01/1966,Total,286,851,7787,232,39,41,114,3035,45,2921,223
01/01/1966,Single Detached,242,,,,,,,,,,
01/01/1966,All Others,44,,,,,,,,,,
02/01/1966,Total,477,990,5571,197,19,56,76,1810,0,1814,132
02/01/1966,All Others,45,,,,,,,,,,
02/01/1966,Single Detached,432,,,,,,,,,,
03/01/1966,All Others,153,,,,,,,,,,
03/01/1966,Single Detached,223,,,,,,,,,,
03/01/1966,Total,376,1407,6478,133,9,48,84,2105,1,2119,196
04/01/1966,Total,382,1075,6520,93,109,63,94,3066,1,1471,166
04/01/1966,All Others,201,,,,,,,,,,
04/01/1966,Single Detached,181,,,,,,,,,,
05/01/1966,All Others,314,,,,,,,,,,
05/01/1966,Total,503,956,10224,184,105,169,145,5762,0,2126,274
05/01/1966,Single Detached,189,,,,,,,,,,
06/01/1966,Total,936,891,10471,278,159,136,74,5080,5,2612,300
06/01/1966,All Others,612,,,,,,,,,,
06/01/1966,Single Detached,324,,,,,,,,,,
07/01/1966,All Others,413,,,,,,,,,,
07/01/1966,Single Detached,273,,,,,,,,,,
07/01/1966,Total,686,1412,10042,244,132,52,114,4958,4,2101,339
08/01/1966,Total,395,817,8477,645,136,41,188,3916,2,2115,222
08/01/1966,Single Detached,201,,,,,,,,,,
08/01/1966,All Others,194,,,,,,,,,,
09/01/1966,Single Detached,457,,,,,,,,,,
09/01/1966,All Others,326,,,,,,,,,,
